ZSCG,3400,Concrete,11/29
ZBDS,3200,Asphalt,13/31
ZSWF,2600,Concrete,17/35
ZPDL,2500,Asphalt,17/35
ZBOW,2800,Asphalt,13/31
ZWHM,2400,Concrete,11/29
UUMO,2050,Concrete,08/26
UKOH,2500,Concrete,03/21
UBBQ,3600,Asphalt,16/34
VOKN,3050,Asphalt,07/25
ZMCK,3600,Asphalt,11/29
VVVD,3600,Concrete,03/21
ZPDQ,3550,Asphalt,16/34
ZBDT,3000,Concrete,14/32
ZLXN,3800,Asphalt,11/29
SKTL,1350,Asphalt,17/35
ZYBS,2600,Concrete,1/19
HKNL,1200,Asphalt,03/21
ZWHZ,2400,Concrete,9/27
ZLJC,3000,Concrete,13/31
ZSSM,2600,Concrete,6/24
ZYDQ,2600,Concrete,17/35
ZLZY,3000,Concrete,11/29
ZWAT,2200,Concrete,12/30
ZBTS,2700,Concrete,10/28
ZBZJ,2500,Concrete,12/30
SBJE,2200,Asphalt,08/26
ZSJA,2600,Concrete,8/26
ZYJZ,2500,Concrete,4/22
ZGYY,2600,Concrete,18/36
ZSJG,2800,Concrete,9/27
ZBAL,2400,Concrete,14/32
ZGFS,2800,Concrete,1/19
ZSNT,3400,Concrete,18/36
ZGHZ,2400,Concrete,9/27
ZUZH,2800,Concrete,2/20
ZYDD,2600,Concrete,1/19
